Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition
2217,909279080,50,RL,,11275,Pave,,IR1,HLS,AllPub,Corner,Mod,Crawfor,Norm,Norm,1Fam,1.5Fin,6,7,1932,1950,Gable,CompShg,MetalSd,MetalSd,BrkFace,480.0,TA,TA,CBlock,TA,TA,Mn,Rec,297.0,LwQ,557.0,0.0,854.0,GasA,TA,Y,SBrkr,1096,895,0,1991,0.0,0.0,1,1,3,1,TA,7,Typ,1,Gd,Detchd,1977.0,Unf,2.0,432.0,TA,Fa,Y,0,0,19,0,0,0,,,,0,3,2007,WD ,Normal
837,907126050,20,RL,65.0,9757,Pave,,Reg,Low,AllPub,Inside,Mod,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,PConc,TA,TA,No,ALQ,755.0,Unf,0.0,235.0,990.0,GasA,Ex,Y,SBrkr,990,0,0,990,1.0,0.0,1,0,3,1,TA,5,Typ,0,,Attchd,1995.0,RFn,1.0,440.0,TA,TA,Y,66,0,0,0,92,0,,,,0,10,2009,WD ,Normal
2397,528144030,60,RL,86.0,11065,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,788.0,Gd,TA,PConc,Gd,TA,Mn,Unf,0.0,Unf,0.0,1085.0,1085.0,GasA,Ex,Y,SBrkr,1120,850,0,1970,0.0,0.0,2,1,3,1,Ex,8,Typ,1,Gd,BuiltIn,2006.0,Fin,3.0,753.0,TA,TA,Y,177,74,0,0,0,0,,,,0,10,2006,New,Partial
1963,535452060,20,RL,70.0,7000,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1960,2002,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,45.0,TA,TA,CBlock,TA,TA,No,Rec,588.0,Unf,0.0,422.0,1010.0,GasA,Ex,Y,SBrkr,1134,0,0,1134,0.0,0.0,1,0,2,1,TA,6,Typ,0,,Attchd,1960.0,RFn,1.0,254.0,TA,TA,Y,0,16,0,0,0,0,,MnWw,,0,4,2007,WD ,Family
306,911202100,50,C (all),66.0,8712,Pave,Pave,Reg,HLS,AllPub,Inside,Mod,IDOTRR,Norm,Norm,1Fam,1.5Fin,4,7,1900,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Stone,TA,TA,Mn,Unf,0.0,Unf,0.0,859.0,859.0,GasA,Gd,Y,SBrkr,859,319,0,1178,0.0,0.0,1,0,2,1,TA,7,Typ,0,,Detchd,1964.0,RFn,1.0,384.0,TA,TA,N,68,0,98,0,0,0,,,,0,1,2010,WD ,Abnorml
1140,531382090,60,RL,65.0,8453,Pave,,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,5,1995,1995,Gable,CompShg,VinylSd,VinylSd,BrkFace,38.0,Gd,TA,PConc,Gd,TA,No,GLQ,362.0,Unf,0.0,392.0,754.0,GasA,Ex,Y,SBrkr,754,855,0,1609,0.0,0.0,2,1,3,1,Gd,6,Typ,0,,Attchd,1995.0,RFn,2.0,525.0,TA,TA,Y,0,70,0,0,0,0,,,,0,4,2008,WD ,Normal
728,902477130,30,C (all),72.0,9392,Pave,,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,3,3,1900,1950,Mansard,CompShg,AsbShng,AsbShng,None,0.0,TA,Fa,CBlock,Fa,TA,No,Unf,0.0,Unf,0.0,245.0,245.0,GasA,TA,N,SBrkr,797,0,0,797,0.0,0.0,1,0,2,1,TA,5,Typ,0,,,,,0.0,0.0,,,N,0,36,94,0,0,0,,,,0,9,2009,WD ,Abnorml
1664,527402150,20,RL,,10530,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1971,1971,Hip,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,282.0,LwQ,35.0,664.0,981.0,GasA,TA,Y,SBrkr,981,0,0,981,1.0,0.0,1,1,3,1,TA,5,Typ,0,,Detchd,1979.0,Unf,2.0,576.0,TA,TA,Y,0,312,40,0,0,0,,,,0,3,2007,WD ,Normal
2818,908102320,20,RL,134.0,17755,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,4,1959,1959,Gable,CompShg,HdBoard,Plywood,BrkFace,132.0,TA,TA,CBlock,TA,TA,No,BLQ,176.0,Unf,0.0,1290.0,1466.0,GasA,TA,Y,SBrkr,1466,0,0,1466,0.0,0.0,1,1,3,1,Fa,6,Typ,2,Gd,Attchd,1959.0,Fin,2.0,528.0,TA,TA,Y,0,140,0,0,100,0,,,,0,11,2006,WD ,Normal
1512,908276140,80,RL,62.0,7692,Pave,,Reg,Bnk,AllPub,Inside,Mod,Edwards,Norm,Norm,1Fam,SLvl,4,6,1954,1954,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,Ex,TA,Av,Unf,0.0,Unf,0.0,416.0,416.0,GasA,Gd,Y,FuseA,1204,0,0,1204,0.0,0.0,1,0,3,1,TA,6,Typ,0,,Basment,1954.0,Unf,1.0,312.0,TA,TA,Y,0,0,0,0,0,0,,,,0,11,2008,WD ,Abnorml
2268,916455050,20,RL,,6718,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,8,5,2001,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,86.0,Gd,TA,PConc,Ex,TA,Mn,GLQ,250.0,Unf,0.0,1017.0,1267.0,GasA,Ex,Y,SBrkr,1312,0,0,1312,0.0,0.0,2,0,2,1,Gd,5,Typ,0,,Attchd,2001.0,Unf,2.0,471.0,TA,TA,Y,256,28,0,0,0,0,,,,0,1,2007,WD ,Normal
794,905475160,20,RL,62.0,7440,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1954,1954,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,Gd,TA,No,BLQ,173.0,Unf,0.0,916.0,1089.0,GasW,TA,Y,SBrkr,1089,0,0,1089,1.0,0.0,1,0,3,1,TA,5,Typ,1,Gd,Detchd,1954.0,RFn,1.0,252.0,TA,TA,P,328,0,0,0,0,0,,MnPrv,,0,9,2009,WD ,Normal
264,907250030,20,RL,80.0,10389,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2003,2003,Hip,CompShg,CemntBd,CmentBd,BrkFace,320.0,Gd,TA,PConc,Gd,TA,No,GLQ,1682.0,Unf,0.0,296.0,1978.0,GasA,Ex,Y,SBrkr,1978,0,0,1978,1.0,0.0,2,1,3,1,Gd,8,Typ,1,Gd,Attchd,2003.0,RFn,3.0,850.0,TA,TA,Y,188,25,0,0,0,0,,,,0,5,2010,WD ,Normal
2856,909256010,50,RL,84.0,10164,Pave,,Reg,Bnk,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,5,5,1939,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,Fa,Av,LwQ,646.0,Unf,0.0,346.0,992.0,GasA,Fa,Y,SBrkr,992,473,0,1465,0.0,0.0,2,0,3,1,TA,6,Typ,2,TA,Detchd,1939.0,Unf,1.0,240.0,TA,TA,Y,0,126,0,0,0,0,,,,0,7,2006,WD ,Normal
23,527368020,60,FV,,7500,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,533.0,Unf,0.0,281.0,814.0,GasA,Ex,Y,SBrkr,814,860,0,1674,1.0,0.0,2,1,3,1,Gd,7,Typ,0,,Attchd,2000.0,RFn,2.0,663.0,TA,TA,Y,0,96,0,0,0,0,,,,0,1,2010,WD ,Normal
1491,908103280,20,RL,65.0,6500,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,6,6,1976,1976,Hip,CompShg,HdBoard,Plywood,BrkFace,84.0,TA,TA,CBlock,TA,Ex,No,BLQ,1033.0,Unf,0.0,94.0,1127.0,GasA,TA,Y,SBrkr,1127,0,0,1127,0.0,1.0,1,1,3,1,TA,6,Typ,1,Po,Detchd,1991.0,Unf,2.0,480.0,TA,TA,Y,0,0,138,0,0,0,,,,0,5,2008,WD ,Normal
568,533210020,160,FV,30.0,3000,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,Stone,76.0,Gd,TA,PConc,Gd,TA,Av,GLQ,294.0,Unf,0.0,318.0,612.0,GasA,Ex,Y,SBrkr,612,612,0,1224,0.0,0.0,2,1,2,1,Gd,4,Typ,0,,Detchd,2009.0,RFn,2.0,528.0,TA,TA,Y,0,234,0,0,0,0,,,,0,6,2009,New,Partial
601,534275100,20,RL,65.0,8125,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1959,1959,Hip,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,403.0,Unf,0.0,461.0,864.0,GasA,Ex,Y,SBrkr,864,0,0,864,0.0,0.0,1,0,3,1,TA,5,Typ,0,,Detchd,1960.0,Unf,1.0,308.0,TA,TA,Y,0,0,0,0,0,0,,,,0,9,2009,WD ,Normal
481,528250020,60,RL,,8965,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,652.0,Unf,0.0,130.0,782.0,GasA,Ex,Y,SBrkr,806,683,0,1489,1.0,0.0,2,1,3,1,Gd,8,Typ,1,Gd,Attchd,2003.0,Fin,2.0,400.0,TA,TA,Y,0,75,0,0,0,0,,,,0,6,2009,WD ,Normal
813,906226120,90,RL,64.0,7018,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,Duplex,2Story,5,5,1979,1979,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,Slab,,,,,0.0,,0.0,0.0,0.0,GasA,TA,Y,SBrkr,1120,1120,0,2240,0.0,0.0,2,0,6,2,TA,12,Typ,0,,Detchd,1979.0,Unf,2.0,528.0,TA,TA,Y,154,0,0,0,0,0,,,,0,6,2009,WD ,Alloca
